feature,importance
cnt_PASS__check_speed1_3000hz,0.0009610376636294852
cnt_FAIL__test_application_release,0.0009554510018916496
cnt_PASS__tlp2_mflexx_tlp2_bench_at_0_5_bar,0.0009402286025466216
cnt_PASS__lcm2_programming,0.0009176928157140098
cnt_PASS__read_lcu2_fault,0.0008815969603854378
cnt_FAIL__bc2_pressure_at_mgdmin,0.0008763963780279233
cnt_DONE__vbat1_activation_at_110v,0.0008677861053828692
fail_any__lcu2_state,0.0008439851122826327
cnt_PASS__link_on_lcm2,0.0008433449676591457
cnt_FAIL__bc1_pressure_at_mgdboost,0.0008430481959422988
cnt_PASS__bc2_pressure_at_vpl_2_7,0.0008379074443301486
cnt_PASS__lcm2_getinfo,0.0008321258490303174
cnt_PASS__tbc2_at_3_67_bar,0.0008283648875566154
cnt_PASS__check_speed1_diag_12ma,0.0008088575633507622
AteSwVersion_R004,0.000806076708035043
cnt_PASS__bc2_brake_released,0.0008049825314317471
cnt_FAIL__mjf2_signal_after_braketest,0.0008038516020045792
fail_any__bc2_pressure_at_mgdboost,0.0007776495784668167
cnt_PASS__tsp2_at_5_613_bar,0.000764337248962125
cnt_PASS__bc1_pressure_evf_evs_active,0.0007588700362872404
fail_any__test_application_release,0.0007505567545981108
cnt_DONE__check_communication_without_termination_on_in1_line,0.0007350054538504519
pairFAIL__lcu2_state__then__mjf1_signal_after_braketest,0.0007251268168237514
cnt_PASS__check_warning_counter,0.000718768275670258
cnt_PASS__cpu_programming_through_usb,0.0007147738098155098
cnt_PASS__check_tx_counter,0.0006876467962572312
AteSwVersion_R005,0.0006785398490632838
cnt_PASS__check_saf_loop2_off,0.0006667013972618399
cnt_DONE__check_relay_cc_on_out2_line,0.000662254510723079
cnt_PASS__check_rr2_off,0.0006595587639102756
Testspec_FT0109253-101-I00STS Rev.D00,0.0006590145095740446
fail_any__mjf2_signal_after_braketest,0.0006579542030934296
fail_any__check_rx_counter,0.0006396887590000225
stationName_FT0115977-TB0 Rev E00,0.0006301655688684107
cnt_PASS__tbc1_mflexx_tbc1_bench_at_6_bar,0.0006271388798184493
Testspec_FT0109253-101-I00STS Rev.C00,0.0006267057171302469
stationName_FT0115977-TB0 Rev B00,0.0006257911190874914
cnt_PASS__tlp1_at_0_5_bar,0.0006048390932716003
min_measureValue,0.0006038195784123194
cnt_PASS__tlp2_at_5_613_bar,0.0005967955486404552
cnt_DONE__check_communication_without_termination_on_in2_line,0.0005923499778829912
cnt_PASS__tsp1_at_0_5_bar,0.0005889405266441397
cnt_PASS__mjf2_signal_before_braketest,0.0005883332734120204
cnt_PASS__tsp2_at_0_5_bar,0.0005850466100197706
cnt_PASS__cpug2f_getinfo,0.0005781792612454841
cnt_FAIL__test_application_crc32,0.0005763286531259897
cnt_DONE__load_off_unload_off,0.0005662978685109744
cnt_PASS__ar_pressure_after_discharge,0.0005629322400752828
cnt_PASS__tbc2_at_3_85_bar,0.0005614506561922344
cnt_PASS__t2_pressure_after_r3_closed_crush_discharge,0.0005536017760946895
cnt_DONE__qr_code_scan,0.0005436457958175482
cnt_PASS__tsp1_at_5_613_bar,0.000541554968147638
cnt_PASS__t4_initial_pressure,0.000538972546614428
cnt_PASS__erase_cpug2f_eeprom,0.0005300626135179299
cnt_PASS__t4_with_ev_load_on,0.000528003998336181
cnt_PASS__bc1_wsp_fill_vent_active,0.00052227940314728
cnt_PASS__tsp2_at_5_45_bar,0.0005146644227891076
cnt_PASS__tlp2_at_5_45_bar,0.0005092058681340677
fail_any__bc2_pressure_at_mgdmin,0.0005043259726616028
cnt_PASS__check_speed1_diag_8ma,0.0005041442647628002
cnt_DONE__ev_load_off_ev_unload_on_evf1_2_on_evs1_2_on_rr1_2_off,0.0005037096395048005
cnt_PASS__calibration_check,0.0004967959996532406
cnt_DONE__check_relay_cc_on_in2_line,0.00048282956345023904
cnt_PASS__record_bc1_0bar_t10_initial_pressure,0.0004762239997069453
cnt_PASS__bc2_pressure_after_discharge,0.0004743080857989893
cnt_PASS__tbc2_mflexx_tbc2_bench_at_6_bar,0.00046902858730235244
fail_any__tpl_pressure_drop_30_sec,0.0004682777390125176
fail_any__flash_test_application,0.0004656800360020495
q25_measureValue,0.00046332446754740545
cnt_PASS__check_monitoring_vdigital,0.00045882822983059254
cnt_DONE__connection,0.00045677542351622765
cnt_PASS__tsp1_at_5_bar,0.00045493274473911875
pairFAIL__tpl_pressure_at_mgdmin__then__tpl_pressure_at_mgdboost,0.0004513010350001038
cnt_PASS__tbc1_at_3_57_bar,0.000447342833342123
pairFAIL__lcu1_state__then__lcu2_state,0.00044509739850370083
cnt_DONE__wsp_fill2_activation_at_time_0,0.00044371464021501105
Testspec_FT0109253-101-I00STS Rev.F00,0.0004428728950723079
cnt_PASS__bc2_pressure_at_vpl_2_5,0.00044275922975231356
pairFAIL__tpl_pressure_at_mgdboost__then__bc1_pressure_at_mgdboost,0.0004398137487796008
cnt_PASS__check_ping_to_uut_address_192_168_67_60,0.00043900026119887524
cnt_DONE__check_communication_with_termination_on_in2_line,0.0004372987751847156
cnt_PASS__check_saf_loop1_on,0.00043401108891555324
cnt_PASS__check_rr1_off,0.0004307748439541311
cnt_FAIL__bc1_teq,0.00042928622375948845
cnt_DONE__check_relay_cc_on_out1_line,0.00042649346228886773
cnt_DONE__check_communication_with_termination_on_out2_line,0.00042586704450132664
cnt_FAIL__tpl_pressure_drop_30_sec,0.0004257112100958138
Testspec_FT0109253-101STS Rev B00,0.00042321296484604265
cnt_PASS__ch11_initial_pressure,0.0004128478478950384
cnt_PASS__psd_measurement_pair3_30_100mhz_100m_line,0.00040367116877048156
fail_any__test_application_name,0.00040214499969048925
cnt_PASS__check_digin1c_off,0.00040205645153003203
cnt_PASS__check_current_flow_in_rr1_and_rr2,0.00039876334883481884
fail_any__bc1_teq,0.000395822980387401
cnt_PASS__check_digin1d_off,0.00039199747140290683
fail_any__test_application_crc32,0.00039161807012062105
cnt_FAIL__check_rx_counter,0.00039039681426041235
cnt_PASS__tbc1_at_0_5_bar,0.00038643770122008596
cnt_PASS__tsp2_mflexx_tsp2_bench_at_6_bar,0.00038106470008904915
cnt_PASS__test_rs485_communication_on_lcm1,0.000379989127930724
cnt_PASS__check_speed1_100hz,0.0003797687328242878
cnt_PASS__test_bench_init,0.0003773325663600895
cnt_PASS__check_digin1a_off,0.0003770127926054461
cnt_PASS__check_tpl_t8_leakage,0.00037441378418397506
cnt_PASS__check_digin2c_off,0.0003691697586157739
fail_any__bc2_pressure_at_serbmax,0.00036564497778254204
cnt_PASS__check_bcp1_stn_on,0.0003648448561353998
cnt_PASS__ch10_discharging_time,0.00036400255959621907
cnt_PASS__check_ar1_t1_leakage,0.0003536114431985653
fail_any__lcu2_code_id,0.00035318672936568695
AteSwVersion_R013,0.0003494148186263974
cnt_PASS__tlp1_mflexx_tlp1_bench_at_6_bar,0.00034321606027893086
stationName_FT0115977-TB0 Rev C00,0.0003355803861592822
cnt_PASS__record_bc1_tpl_0_1bar_t10_initial_pressure,0.00033528256183453306
cnt_DONE__ev_air_activation,0.0003249009832075824
AteSwVersion_R003,0.0003247843743219973
cnt_PASS__check_ar_0bar_t1_discherged,0.000324241511595277
cnt_PASS__mgd_min_verify_loop_1,0.00032313255214290226
cnt_PASS__check_rl_spare1_off,0.0003182672337186512
cnt_PASS__check_sp2_t7_leakage,0.00031789129453094753
cnt_PASS__check_can_tx_conter,0.00031735228684378404
cnt_PASS__bc2_wsp_fill_vent_active,0.0003134577820967555
cnt_PASS__mgd_min_verify_loop_3,0.0003092254645882757
cnt_PASS__set_vpl_regolation_to_5_5bar,0.00030899564998198534
cnt_FAIL__bc2_pressure_at_serbmax,0.00030864931823263835
cnt_PASS__init_and_link_stability_100m_line,0.0003084023226862537
cnt_PASS__test_sp2_t7_pressure,0.000307544327113599
cnt_PASS__cv_pressure_increase_in_5_min,0.00030624783881312047
cnt_PASS__check_ai_spare1_12ma,0.00030292753734907163
cnt_PASS__check_digin2a_off,0.0003000282274216007
cnt_PASS__check_uut_do_spare2_diagnostic_ok,0.0002946954364186919
cnt_PASS__check_uut_rl_spare2_diagnostic_ok,0.00029331744325333803
cnt_PASS__bc1_after_monostable_intervention,0.00028895238689623145
cnt_PASS__tbc2_at_0_bar,0.0002888586033552851
fail_any__flash_test_application_eth,0.0002865824558456074
cnt_DONE__check_uut_do_spare3_on_without_life_signal,0.0002859793423820114
cnt_PASS__check_spdin1_diag_with_0ma,0.0002859354944647472
cnt_DONE__check_uut_do_spare2_diagnostic_detection,0.00028535461261109367
cnt_PASS__check_pwm2_off,0.0002820925662252943
cnt_PASS__record_ba_mgd_min_t8_initial_pressure,0.0002798729941886671
cnt_PASS__check_ate_ev_load_on,0.00027901354581591096
cnt_PASS__check_15v_iso_s1_15v,0.0002773418523132843
cnt_PASS__tbc2_mflexx_tbc2_bench_at_3_85_bar,0.00027336519939825173
cnt_FAIL__flash_test_application,0.00027142626096710834
cnt_DONE__wsp_fill_vent_activation,0.0002712751101560236
cnt_PASS__bc2_pressure_switch_downhill_threshold,0.0002695257598543121
cnt_PASS__tlp1_mflexx_tlp1_bench_at_5_45_bar,0.0002694631467160856
cnt_PASS__tpl_mflexx_tpl_bench_at_3_85_bar,0.0002692337934119575
stationName_FT0123276-TB0 Rev A00,0.00026794730565639086
cnt_PASS__tpl_at_6_bar,0.0002669328267261984
cnt_PASS__check_ate_ps1_off,0.00026684698716881604
cnt_PASS__tbc2_at_6_bar,0.0002651646658839011
cnt_PASS__check_15v_iso_a2_15v,0.0002610671806974845
pairFAIL__mjf1_signal_after_braketest__then__mjf2_signal_after_braketest,0.000257984136322989
cnt_PASS__tbc1_at_3_85_bar,0.0002541208870860972
cnt_PASS__check_vbat1_average_current,0.00025247845844736204
cnt_PASS__tlp1_at_5_613_bar,0.00024366130625854586
cnt_DONE__check_rl_spare2_on_off_in_normal_condition,0.0002424917687340436
cnt_PASS__check_uut_rl_spare1_status_on,0.0002424630019502217
cnt_NODONE__tpl_pressure_at_mgdboost,0.00024216175126419445
cnt_DONE__ev_load_off_ev_unload_on_evf1_2_off_evs1_2_off_rr1_2_on,0.00024160883682421212
cnt_PASS__test_cpug2_tbc2press_4_5v,0.00024072707543799771
cnt_DONE__check_communication_without_termination_on_out1_line,0.00024010970170517236
cnt_PASS__t2_pressure,0.0002387145743142768
cnt_PASS__check_uut_status_ev_air_on,0.0002359868932559813
cnt_PASS__tlp1_at_5_bar,0.0002356556788654877
cnt_FAIL__check_warning_counter,0.0002355073058763484
cnt_PASS__test_lcm1_park_on,0.00023423365269371974
cnt_PASS__spring_ratio_min,0.00023385656968306537
pairFAIL__test_application_release__then__test_application_crc32,0.00023010311633950796
cnt_FAIL__lcu1_code_id,0.00022913197978727615
cnt_PASS__test_sp1_t5_pressure,0.00022781135290435447
cnt_PASS__bc2_after_monostable_intervention,0.00022576479753187552
cnt_PASS__test_ar2_t2_pressure,0.00022547510961493206
cnt_PASS__check_do_spare2_off,0.00022365363402791308
cnt_PASS__check_ate_ev_vent2_on,0.00022201901103081692
cnt_PASS__t2_pressure_ev_load_on,0.0002218409095223392
cnt_PASS__test_ba_mgd_boost_t8_pressure,0.00022090384521575066
cnt_PASS__check_error_counter,0.00021950821937342694
cnt_DONE__vpl_6_5bar_evf_on_evs_off,0.00021871727295672995
cnt_FAIL__trel_bc1_release_time,0.00021727200118881824
cnt_PASS__seeger_quote,0.0002166164763125439
cnt_PASS__t4_pressure_after_ev_load,0.00021648200232163886
cnt_DONE__check_speed_frequences,0.0002156831248412857
cnt_PASS__check_bc1_t10_leakage,0.00021225335853318302
cnt_PASS__valve_input_pressure,0.00021072277001679769
cnt_PASS__t4_evload_off_rid2_6_9bar,0.00020863012717124254
cnt_PASS__test_lcu2_tlp2press_0v,0.00020819021848205197
cnt_PASS__test_lp2_t3_pressure,0.00020609725766636045
cnt_FAIL__check_tx_counter,0.00020536321718992608
cnt_PASS__check_ate_rl_spare1_off,0.00020510667649432736
cnt_PASS__check_in2a_in2b_echelon_warning_counter,0.00020410923714411845
cnt_PASS__tpl_mflexx_tpl_bench_at_6_bar,0.00020333643671369386
fail_any__check_tx_counter,0.00020159690408231459
pairFAIL__braketest_result__then__lcu1_state,0.00020124753164259192
cnt_PASS__check_digin2d_on,0.0002003390700475305
cnt_PASS__t4_pressure_after_5_min,0.00019941922274492935
cnt_PASS__check_bc2_0bar_t12_discherged,0.00019807927138869666
cnt_FAIL__lcu2_state,0.00019806864594841867
cnt_DONE__pressure_discharge,0.00019756685717062757
cnt_PASS__check_uut_lcm1_mjf_no_contact_off,0.00019600478327088368
cnt_PASS__snr_measurement_at_100_mbit_sec_on_pair2_100m_line,0.00019557299123374827
cnt_PASS__tsp2_mflexx_tsp2_bench_at_5_45_bar,0.00019554311243250965
cnt_PASS__mgd_crush_verify_loop_3,0.00019536369409273323
fail_any__trel_bc2_release_time,0.00019525104035212032
cnt_PASS__check_speed2_100hz,0.0001944011315067943
cnt_PASS__check_ambient_temperature,0.00019403996301561348
cnt_PASS__check_speed2_diag_0ma,0.00019290723407247698
cnt_PASS__spring_ratio_crush,0.0001925702428816045
cnt_PASS__ch11_discharging_time,0.00019241742643064357
cnt_PASS__check_uut_do_spare2_diagnostic_life_off,0.00019239173488714862
cnt_PASS__test_ar1_t1_pressure,0.0001917382507045795
stationName_FT0115977-TB0 REV B00,0.00019103674155564434
cnt_PASS__check_digin1c_on,0.00019001147099885065
cnt_PASS__check_ate_ev_fill2_off,0.00018904150240809053
AteSwVersion_R012,0.00018884940019870528
cnt_PASS__check_digin1b_off,0.00018804746363398062
cnt_PASS__test_cpug2_digin2c_off,0.00018745944169177144
cnt_FAIL__bc1_pressure_switch_downhill_threshold,0.0001862657742204702
cnt_PASS__check_uut_do_spare2_status_off,0.00018171267422239983
cnt_DONE__test_iot,0.00018156530548567028
pairFAIL__bc2_pressure_at_mgdboost__then__braketest_result,0.00018131095484341303
cnt_PASS__test_cpug2_rr2_on,0.0001809862585920795
cnt_PASS__test_bc1_tpl_0_1bar_t10_pressure,0.00018072762677896499
cnt_PASS__read_lcu1_fault,0.00018004221151592784
cnt_PASS__test_code_id_on_lcm2,0.00017913004617679278
cnt_PASS__check_speed2_1500hz,0.00017854096608878466
cnt_PASS__check_spdin2_diag_with_12ma,0.00017814767038104703
fail_any__trel_bc1_release_time,0.0001780448728588792
cnt_PASS__check_do_spare1_off,0.00017782064542026175
Testspec_FT0044876-101-I00STS REV.E01,0.00017769250251409223
cnt_PASS__spring_rings_depth,0.00017595663343837175
cnt_PASS__check_speed1_diag_20ma,0.00017542316204739971
cnt_PASS__check_vanalog_whitout_load,0.00017535688239995407
cnt_PASS__emg_monitoring,0.0001748988085188356
cnt_PASS__test_lp1_t4_pressure,0.00017484549761178923
cnt_PASS__mgd_min_verify_loop_2,0.00017443859421669073
count_NODONE,0.00017296856604108845
cnt_PASS__tbc1_at_0_bar,0.00017262536411770447
pairFAIL__bc1_pressure_at_mgdboost__then__bc2_pressure_at_mgdboost,0.000172341372057892
cnt_FAIL__flash_test_application_eth,0.00017186145173496322
cnt_PASS__check_difference_between_ate_and_uut,0.00017180980773361896
AteSwVersion_R007,0.00017175343930803753
cnt_PASS__tsp1_mflexx_tsp1_bench_at_6_bar,0.00017034517615432121
cnt_PASS__check_lp2_t3_leakage,0.00016801806406381673
cnt_PASS__record_sp2_t7_initial_pressure,0.0001671732091689555
cnt_PASS__check_uut_diagnostic_ev_air_short,0.00016618351312894692
pairFAIL__check_tx_counter__then__check_rx_counter,0.00016617809155115572
fail_any__bc1_pressure_switch_upward_threshold,0.0001637101183403156
cnt_DONE__tplp1_e_2_8bar_tpsp1_e_2_8bar,0.0001625816809818709
cnt_DONE__test_an_tsp2_voltage_0_5v_on_cpug2,0.00016206414444665569
cnt_PASS__check_speed2_500hz,0.00016178641315086354
cnt_PASS__t2_evload_off_rid2_6_9bar,0.00016161994552906924
cnt_PASS__tsp1_mflexx_tsp1_bench_at_5_45_bar,0.00016145652406865897
cnt_FAIL__test_application_name,0.0001612463910915213
cnt_DONE__ev_load_on_ev_unload_off_evf1_2_off_evs1_2_off_rr1_2_on,0.00016117251074036925
cnt_PASS__mgd_crush_verify_loop_1,0.0001611026451133106
pairFAIL__test_application_name__then__test_application_release,0.0001609596877638928
cnt_PASS__seeger_quote_trimmed,0.00016061035445140401
cnt_PASS__mgd_crush_verify_loop_2,0.00016006742004270557
cnt_DONE__power_on,0.00015899693633061345
cnt_PASS__test_lcu2_tbc1press_2_5v,0.00015897059988365228
cnt_DONE__bc1_and_bc2_to_6_0_bar,0.0001589644752466077
cnt_PASS__wait_wsp_fill1_monostable_trip_time,0.00015835595447462604
cnt_DONE__check_uut_rl_spare1_diagnostic_detection,0.00015724277723164087
cnt_PASS__tlp1_at_5_45_bar,0.000156864695692324
cnt_PASS__check_spdin1_3000hz,0.00015607852161179806
cnt_PASS__snr_measurement_at_100_mbit_sec_on_pair3,0.00015595883781482792
cnt_PASS__check_ate_do_spare1_off_due_to_life_absence,0.00015556456504687923
